,名称,階数,家賃,管理費,間取り,面積,URL
131,ＪＲ奥羽本線 湯沢駅 5階建 築47年,2階,3万円,-,2K,33.61m2,https://suumo.jp/chintai/jnc_000075621235/?bc=100289946239
132,ホワイトボックスI,1階,2.4万円,-,1K,24.01m2,https://suumo.jp/chintai/jnc_000064038280/?bc=100270177531
133,ホワイトボックスI,2階,2.4万円,-,1K,22.35m2,https://suumo.jp/chintai/jnc_000074875090/?bc=100285649150
134,ホワイトボックスI,2階,2.4万円,-,1K,21.53m2,https://suumo.jp/chintai/jnc_000071176920/?bc=100266320882
135,根本アパート,2階,2.5万円,-,2K,38.92m2,https://suumo.jp/chintai/jnc_000040610884/?bc=100291919584
136,高橋平和町アパート,2階,2.5万円,-,2K,34m2,https://suumo.jp/chintai/jnc_000013022481/?bc=100265376420
137,泉コーポ,2階,2.5万円,-,2K,31.03m2,https://suumo.jp/chintai/jnc_000070555127/?bc=100206564325
138,ＪＲ奥羽本線 横手駅 2階建 築31年,1階,2.5万円,-,2K,27.27m2,https://suumo.jp/chintai/jnc_000075935626/?bc=100291870228
139,アーバンハイツＫ,1階,2.5万円,-,1DK,24.75m2,https://suumo.jp/chintai/jnc_000072997565/?bc=100265939872
140,アーバンハイツＫ,1階,2.5万円,-,1DK,24.75m2,https://suumo.jp/chintai/jnc_000068248207/?bc=100250154106
141,アーバンハイツＫ,2階,2.5万円,-,1DK,24.75m2,https://suumo.jp/chintai/jnc_000041967106/?bc=100290193180
142,モン　メゾン,2階,2.3万円,2000円,1K,24.09m2,https://suumo.jp/chintai/jnc_000056482328/?bc=100224977216
143,フェアリーハウス２１,1階,2.5万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000024029225/?bc=100271640805
144,レオパレス川元開和町第二,2階,2.5万円,-,1K,20.25m2,https://suumo.jp/chintai/jnc_000023682167/?bc=100275826950
145,レオパレス川元開和町第二,1階,2.5万円,-,1K,20.25m2,https://suumo.jp/chintai/jnc_000045220281/?bc=100290510658
146,レオパレス川元開和町第二,2階,2.5万円,-,1K,20.25m2,https://suumo.jp/chintai/jnc_000031186598/?bc=100266372133
147,ハイツアベニューＡ,2階,2.6万円,-,1DK,24.9m2,https://suumo.jp/chintai/jnc_000013020536/?bc=100206564370
148,コーポサンフラワー,2階,2.6万円,-,1DK,24m2,https://suumo.jp/chintai/jnc_000076144486/?bc=100293126194
149,ホワイトハウス,2階,2.6万円,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000013019906/?bc=100069124806
150,将軍野レジデンス,2階,2.3万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000071302779/?bc=100239777012
151,将軍野レジデンス,1階,2.3万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000071302780/?bc=100264719911
152,将軍野レジデンス,2階,2.3万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000075712597/?bc=100290498737
153,将軍野レジデンス,2階,2.5万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000018306085/?bc=100244165859
154,ＪＲ奥羽本線 土崎駅 2階建 築32年,2階,2.3万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000076074823/?bc=100292742939
155,ＪＲ奥羽本線 土崎駅 2階建 築32年,1階,2.3万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000076074824/?bc=100292742788
156,ＪＲ奥羽本線 土崎駅 2階建 築32年,2階,2.5万円,3000円,1K,19.23m2,https://suumo.jp/chintai/jnc_000076074825/?bc=100292742907
157,エクセレント九番館,2階,2.4万円,2000円,1K,18.24m2,https://suumo.jp/chintai/jnc_000072189260/?bc=100271285682
158,カーサ矢留,2階,2.5万円,2000円,2K,29.7m2,https://suumo.jp/chintai/jnc_000031483969/?bc=100285652526
159,ＪＲ東北本線 仙北町駅 2階建 築46年,1階,1.5万円,-,2K,34.29m2,https://suumo.jp/chintai/jnc_000075800689/?bc=100291046921
160,北陵荘,1階,1.9万円,-,2K,28.99m2,https://suumo.jp/chintai/jnc_000064118049/?bc=100227710588
161,北陵荘,2階,1.9万円,-,2K,26.91m2,https://suumo.jp/chintai/jnc_000067528578/?bc=100227312146
162,ニュータウンハイツ,1階,2万円,-,2K,37.26m2,https://suumo.jp/chintai/jnc_000068789213/?bc=100226396575
163,ニュータウンハイツ,2階,2.5万円,-,2K,37.26m2,https://suumo.jp/chintai/jnc_000060149802/?bc=100271338213
164,コーポうめの木,1階,2万円,-,1K,20.66m2,https://suumo.jp/chintai/jnc_000073397474/?bc=100245802406
165,ハウススイッスル,2階,2万円,-,1K,20.45m2,https://suumo.jp/chintai/jnc_000068694941/?bc=100252585753
166,ハウススイッスル,2階,2万円,-,1K,20.45m2,https://suumo.jp/chintai/jnc_000030603051/?bc=100275697008
167,ハウススイッスル,1階,2万円,-,1K,20.45m2,https://suumo.jp/chintai/jnc_000067620633/?bc=100237899435
168,コーポロイヤルＢ,2階,2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000071802081/?bc=100269276574
169,コーポロイヤルＢ,1階,2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000072249621/?bc=100269276579
170,コーポロイヤルＢ,2階,2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000073177533/?bc=100269202332
171,石留荘,2階,2万円,500円,2K,35.19m2,https://suumo.jp/chintai/jnc_000041110668/?bc=100269680596
172,コーポ大志,2階,2万円,500円,1K,21m2,https://suumo.jp/chintai/jnc_000029111016/?bc=100094279543
173,スカイコーポ,2階,2.1万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000075909550/?bc=100230980460
174,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581600/?bc=100234366671
175,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581605/?bc=100234366669
176,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581604/?bc=100234366703
177,スカイコーポ,2階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074978232/?bc=100237010275
178,スカイコーポ,2階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581602/?bc=100281135138
179,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581607/?bc=100234366695
180,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581597/?bc=100284422919
181,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581606/?bc=100281135149
182,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581603/?bc=100234366694
183,スカイコーポ,1階,2.3万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581598/?bc=100103380325
184,スカイコーポ,2階,2.5万円,-,2K,34.9m2,https://suumo.jp/chintai/jnc_000074581599/?bc=100234366667
185,カレッジハウス,2階,2万円,1000円,1K,23.6m2,https://suumo.jp/chintai/jnc_000072921865/?bc=100268228123
186,キタハウス,2階,2.1万円,-,1K,21.3m2,https://suumo.jp/chintai/jnc_000052220513/?bc=100169983037
187,プチハウスパ－ト１,1階,2万円,1000円,1DK,21.11m2,https://suumo.jp/chintai/jnc_000075517677/?bc=100281077303
